"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Screening for metabolic disorders (SMD),9,187,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,5,22,,5,22,,Tobacco use treatment provided or offered at discharge,0,33,,0,33,,Transition record with specified elements received by discharged patients (TR1),83,288,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,53.6,69,,39.1,69,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,87.7,81,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,138,23.7,18.5,30.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),88,56,,10/01/2023,03/31/2024
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,3986,,Hours of seclusion use,0.00,0,3986,,Screening for metabolic disorders (SMD),100,205,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,89,19,,58,19,,Transition record with specified elements received by discharged patients (TR1),100,225,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,145,16,11.8,21.2,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),99,99,,10/01/2023,03/31/2024
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,7091,,Hours of seclusion use,0.00,0,7091,,Screening for metabolic disorders (SMD),95,422,,Alcohol use brief intervention provided or offered,86,29,,86,29,,Alcohol and other drug use disorder treatment provided or offered at discharge,90,78,,90,78,,Tobacco use treatment provided or offered at discharge,79,108,,79,108,,Transition record with specified elements received by discharged patients (TR1),94,584,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,85,21,15.8,27.2,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),100,287,,10/01/2023,03/31/2024
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.00,0,4013,,Hours of seclusion use,0.00,0,4013,,Screening for metabolic disorders (SMD),19,80,,Alcohol use brief intervention provided or offered,16,19,,17,18,,Alcohol and other drug use disorder treatment provided or offered at discharge,84,19,,84,19,,Tobacco use treatment provided or offered at discharge,47,32,,47,32,,Transition record with specified elements received by discharged patients (TR1),0,131,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,70,,10/01/2023,03/31/2024
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.06,15.53,11524,,Hours of seclusion use,0.86,238.72,11524,,Screening for metabolic disorders (SMD),96,350,,Alcohol use brief intervention provided or offered,89,113,,70,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,239,,97,239,,Tobacco use treatment provided or offered at discharge,49,189,,12,189,,Transition record with specified elements received by discharged patients (TR1),77,631,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,70.5,78,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,104,20.5,15.9,26.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,306,,10/01/2023,03/31/2024
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.20,162.03,33980,,Hours of seclusion use,1.49,1217.11,33980,,Screening for metabolic disorders (SMD),89,372,,Alcohol use brief intervention provided or offered,96,274,,100,263,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,235,,100,235,,Tobacco use treatment provided or offered at discharge,93,175,,0,175,,Transition record with specified elements received by discharged patients (TR1),97,716,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,38.4,73,,23.3,73,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78.1,105,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,207,21.5,17.6,26.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,347,,10/01/2023,03/31/2024
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,Not Available,Not Available,Not Available,7,Hours of seclusion use,Not Available,Not Available,Not Available,7,Screening for metabolic disorders (SMD),92,60,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,0,13,,0,13,,Transition record with specified elements received by discharged patients (TR1),56,100,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,49,20.9,14.5,29.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,38,,10/01/2023,03/31/2024
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,10890,,Hours of seclusion use,0.00,0,10890,,Screening for metabolic disorders (SMD),85,459,,Alcohol use brief intervention provided or offered,98,109,,52,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,32,181,,30,181,,Tobacco use treatment provided or offered at discharge,73,247,,0,247,,Transition record with specified elements received by discharged patients (TR1),100,600,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.8,114,,29.8,114,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.8,178,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,273,20.5,16.9,25.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),92,294,,10/01/2023,03/31/2024
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,Hours of physical-restraint use,0.05,19.42,16434,,Hours of seclusion use,0.00,1.5,16434,,Screening for metabolic disorders (SMD),91,253,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,13,15,,0,15,,Transition record with specified elements received by discharged patients (TR1),6,312,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.9,41,,29.3,41,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,102,19.2,14.2,26.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),89,138,,10/01/2023,03/31/2024
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,Hours of physical-restraint use,0.00,0,4455,,Hours of seclusion use,0.00,0,4455,,Screening for metabolic disorders (SMD),98,158,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),96,274,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,44.4,45,,31.1,45,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,64,16.7,12.0,23.4,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,119,,10/01/2023,03/31/2024
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,Hours of physical-restraint use,0.00,0,2488,,Hours of seclusion use,0.00,0,2488,,Screening for metabolic disorders (SMD),6,140,,Alcohol use brief intervention provided or offered,0,209,,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,0,17,,0,17,,Transition record with specified elements received by discharged patients (TR1),1,209,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,142,17.4,13.1,22.8,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),0,55,,10/01/2023,03/31/2024
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,Hours of physical-restraint use,0.00,0,7149,,Hours of seclusion use,1.13,194.25,7149,,Screening for metabolic disorders (SMD),98,413,,Alcohol use brief intervention provided or offered,98,83,,100,81,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,187,,94,187,,Tobacco use treatment provided or offered at discharge,92,284,,72,284,,Transition record with specified elements received by discharged patients (TR1),92,566,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,96,23.3,17.8,29.8,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),83,322,,10/01/2023,03/31/2024
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,Hours of physical-restraint use,0.02,10.93,20481,,Hours of seclusion use,0.09,43.67,20481,,Screening for metabolic disorders (SMD),98,437,,Alcohol use brief intervention provided or offered,81,16,,81,16,,Alcohol and other drug use disorder treatment provided or offered at discharge,8,40,,8,40,,Tobacco use treatment provided or offered at discharge,40,53,,19,53,,Transition record with specified elements received by discharged patients (TR1),85,608,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,74,16.4,11.6,22.3,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),89,298,,10/01/2023,03/31/2024
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,Hours of physical-restraint use,0.00,0,1999,,Hours of seclusion use,0.00,0,1999,,Screening for metabolic disorders (SMD),89,101,,Alcohol use brief intervention provided or offered,36,11,,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,55,11,,36,11,,Tobacco use treatment provided or offered at discharge,100,14,,100,14,,Transition record with specified elements received by discharged patients (TR1),82,155,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,53,18.1,12.7,25.4,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),83,63,,10/01/2023,03/31/2024
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,Hours of physical-restraint use,0.02,4.7,9663,,Hours of seclusion use,0.00,0,9663,,Screening for metabolic disorders (SMD),97,760,,Alcohol use brief intervention provided or offered,94,34,,97,33,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,115,,95,115,,Tobacco use treatment provided or offered at discharge,96,135,,96,135,,Transition record with specified elements received by discharged patients (TR1),98,997,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.4,69,,39.1,69,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,89.2,93,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,234,19.9,15.9,24.4,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),100,339,,10/01/2023,03/31/2024
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,Hours of physical-restraint use,0.23,110,20280,,Hours of seclusion use,0.42,206.15,20280,,Screening for metabolic disorders (SMD),91,432,,Alcohol use brief intervention provided or offered,71,82,,74,72,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,122,,99,122,,Tobacco use treatment provided or offered at discharge,83,246,,50,246,,Transition record with specified elements received by discharged patients (TR1),39,638,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,32.7,101,,12.9,101,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.3,135,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,219,16.5,12.9,20.8,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),85,303,,10/01/2023,03/31/2024
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,Hours of physical-restraint use,0.00,0,4088,,Hours of seclusion use,0.00,0,4088,,Screening for metabolic disorders (SMD),99,203,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,93,42,,93,42,,Tobacco use treatment provided or offered at discharge,89,45,,87,45,,Transition record with specified elements received by discharged patients (TR1),98,277,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,52,19.1,13.7,26.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),99,141,,10/01/2023,03/31/2024
010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,Hours of physical-restraint use,0.00,0,3816,,Hours of seclusion use,0.00,0,3816,,Screening for metabolic disorders (SMD),78,193,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),32,319,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,79,20.5,15.0,27.9,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),86,131,,10/01/2023,03/31/2024
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,Hours of physical-restraint use,0.01,0.67,5414,,Hours of seclusion use,0.00,0,5414,,Screening for metabolic disorders (SMD),98,212,,Alcohol use brief intervention provided or offered,92,40,,82,39,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,60,,95,60,,Tobacco use treatment provided or offered at discharge,48,85,,41,85,,Transition record with specified elements received by discharged patients (TR1),84,359,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,75,18.5,13.4,25.3,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),97,156,,10/01/2023,03/31/2024
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,Hours of physical-restraint use,0.00,0,7729,,Hours of seclusion use,0.00,0,7729,,Screening for metabolic disorders (SMD),99,660,,Alcohol use brief intervention provided or offered,0,86,,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,2,100,,2,100,,Tobacco use treatment provided or offered at discharge,0,68,,0,68,,Transition record with specified elements received by discharged patients (TR1),0,783,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,40,40,,15,40,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,91,18.8,14.0,24.3,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,193,,10/01/2023,03/31/2024
010112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,Hours of physical-restraint use,0.01,1.25,5439,,Hours of seclusion use,0.01,0.67,5439,,Screening for metabolic disorders (SMD),97,278,,Alcohol use brief intervention provided or offered,100,37,,100,37,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,50,,94,50,,Tobacco use treatment provided or offered at discharge,96,199,,86,199,,Transition record with specified elements received by discharged patients (TR1),100,487,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,66,18.6,13.3,25.6,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),93,225,,10/01/2023,03/31/2024
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,Hours of physical-restraint use,0.24,92.17,16130,,Hours of seclusion use,0.00,0,16130,,Screening for metabolic disorders (SMD),100,318,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),35,398,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,86,19.5,14.6,25.4,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),95,150,,10/01/2023,03/31/2024
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35022,JEFFERSON,Hours of physical-restraint use,0.02,2.48,4410,,Hours of seclusion use,0.00,0,4410,,Screening for metabolic disorders (SMD),79,211,,Alcohol use brief intervention provided or offered,0,18,,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),0,274,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,83,20.3,15.0,27.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),61,118,,10/01/2023,03/31/2024
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,Hours of physical-restraint use,0.00,0,1840,,Hours of seclusion use,0.00,0,1840,,Screening for metabolic disorders (SMD),99,99,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),100,123,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,90,20.7,15.1,27.8,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),97,61,,10/01/2023,03/31/2024
